TextureArchive	TextureRecord	OffsetX	OffsetY
245	3	236	45
245	8	223	84
245	8	223	84
245	10	237	92
245	10	231	82
245	17	260	45
245	22	225	45
245	27	236	8
245	27	235	8
245	27	233	8
245	27	234	8
245	27	233	7
245	27	234	8
245	0	230	138
245	0	230	138
245	0	230	138
245	33	271	66
245	34	261	58
245	35	261	60
245	36	260	72
245	3	237	45
245	8	223	84
245	10	237	79
245	17	262	45
245	22	226	45
245	27	236	8
245	27	235	8
245	27	233	8
245	27	234	8
245	27	233	7
245	27	234	8
245	0	230	144
245	0	230	144
245	0	230	144
245	33	271	66
245	34	261	58
245	35	261	60
245	36	260	72
245	3	237	46
245	3	237	46
245	3	237	61
245	8	223	84
245	10	237	94
245	10	237	79
245	10	237	95
245	10	237	79
245	17	262	45
245	17	256	40
245	17	256	40
245	22	226	45
245	22	225	41
245	22	225	41
245	27	236	8
245	27	235	8
245	27	233	8
245	27	234	8
245	27	233	7
245	27	234	8
245	0	230	144
245	0	230	144
245	0	230	144
245	33	271	66
245	34	261	58
245	35	261	60
245	36	260	72
245	3	237	46
245	3	237	46
245	3	237	61
245	8	223	84
245	10	237	94
245	10	237	79
245	10	237	95
245	10	237	79
245	17	262	45
245	17	256	40
245	17	256	40
245	22	226	45
245	22	225	41
245	22	225	41
245	27	236	8
245	27	235	8
245	27	233	8
245	27	234	8
245	27	233	7
245	27	234	8
245	0	230	144
245	0	230	144
245	0	230	144
245	33	271	66
245	34	261	58
245	35	261	60
245	36	260	72
245	3	237	46
245	3	237	46
245	3	237	61
245	8	223	84
245	10	237	94
245	10	237	79
245	10	237	95
245	10	237	79
245	17	262	45
245	17	256	40
245	17	256	40
245	22	226	45
245	22	225	41
245	22	225	41
245	27	236	8
245	27	235	8
245	27	233	8
245	27	234	8
245	27	233	7
245	27	234	8
245	0	230	144
245	0	230	144
245	0	230	144
245	33	271	66
245	34	261	58
245	35	261	60
245	36	260	72
245	3	237	46
245	3	237	46
245	3	237	61
245	8	223	84
245	10	237	94
245	10	237	79
245	10	237	95
245	10	237	79
245	17	262	45
245	17	256	40
245	17	256	40
245	22	226	45
245	22	225	41
245	22	225	41
245	27	236	8
245	27	235	8
245	27	233	8
245	27	234	8
245	27	233	7
245	27	234	8
245	0	230	144
245	0	230	144
245	0	230	144
245	33	271	66
245	34	261	58
245	35	261	60
245	36	260	72
245	3	237	46
245	3	237	46
245	3	237	61
245	8	223	84
245	10	237	94
245	10	237	79
245	10	237	95
245	10	237	79
245	17	262	45
245	17	256	40
245	17	256	40
245	22	226	45
245	22	225	41
245	22	225	41
245	27	236	8
245	27	235	8
245	27	233	8
245	27	234	8
245	27	233	7
245	27	234	8
245	0	230	144
245	0	230	144
245	0	230	144
245	33	271	66
245	34	261	58
245	35	261	60
245	36	260	72
245	3	237	46
245	3	237	46
245	3	237	61
245	8	223	84
245	10	237	94
245	10	237	79
245	10	237	95
245	10	237	79
245	17	262	45
245	17	256	40
245	17	256	40
245	22	226	45
245	22	225	41
245	22	225	41
245	27	236	8
245	27	235	8
245	27	233	8
245	27	234	8
245	27	233	7
245	27	234	8
245	0	230	144
245	0	230	144
245	0	230	144
245	33	271	66
245	34	261	58
245	35	261	60
245	36	260	72
245	3	237	46
245	3	237	46
245	3	237	61
245	8	223	84
245	10	237	94
245	10	237	79
245	10	237	95
245	10	237	79
245	17	262	45
245	17	256	40
245	17	256	40
245	22	226	45
245	22	225	41
245	22	225	41
245	27	236	8
245	27	235	8
245	27	233	8
245	27	234	8
245	27	233	7
245	27	234	8
245	0	230	144
245	0	230	144
245	0	230	144
245	33	271	66
245	34	261	58
245	35	261	60
245	36	260	72
245	3	237	46
245	3	237	46
245	3	237	61
245	8	223	84
245	10	237	94
245	10	237	79
245	10	237	95
245	10	237	79
245	17	262	45
245	17	256	40
245	17	256	40
245	22	226	45
245	22	225	41
245	22	225	41
245	27	236	8
245	27	235	8
245	27	233	8
245	27	234	8
245	27	233	7
245	27	234	8
245	0	230	144
245	0	230	144
245	0	230	144
245	33	271	66
245	34	261	58
245	35	261	60
245	36	260	72
245	3	237	46
245	3	237	46
245	3	237	61
245	8	223	84
245	10	237	94
245	10	237	79
245	10	237	95
245	10	237	79
245	17	262	45
245	17	256	40
245	17	256	40
245	22	226	45
245	22	225	41
245	22	225	41
245	27	236	8
245	27	235	8
245	27	233	8
245	27	234	8
245	27	233	7
245	27	234	8
245	0	230	144
245	0	230	144
245	0	230	144
245	33	271	66
245	34	261	58
245	35	261	60
245	36	260	72
245	3	237	46
245	3	237	46
245	3	237	61
245	8	223	84
245	10	237	94
245	10	237	79
245	10	237	95
245	10	237	79
245	17	262	45
245	17	256	40
245	17	256	40
245	22	226	45
245	22	225	41
245	22	225	41
245	27	236	8
245	27	235	8
245	27	233	8
245	27	234	8
245	27	233	7
245	27	234	8
245	0	230	144
245	0	230	144
245	0	230	144
245	33	271	66
245	34	261	58
245	35	261	60
245	36	260	72
246	3	236	45
246	8	223	84
246	8	223	84
246	10	237	92
246	10	231	82
246	17	260	44
246	22	225	45
246	27	236	9
246	27	233	11
246	27	233	8
246	27	234	8
246	27	233	7
246	27	234	8
246	0	230	138
246	0	230	138
246	0	230	138
246	33	271	66
246	34	261	58
246	35	261	60
246	36	260	72
246	3	236	45
246	8	223	84
246	10	237	79
246	17	262	45
246	22	226	45
246	27	236	9
246	27	233	11
246	27	233	8
246	27	234	8
246	27	233	7
246	27	234	8
246	0	230	144
246	0	230	144
246	0	230	144
246	33	271	66
246	34	261	58
246	35	261	60
246	36	260	72
246	3	237	45
246	3	236	46
246	3	236	61
246	8	223	84
246	10	236	96
246	10	236	79
246	10	237	95
246	10	236	79
246	17	262	45
246	17	256	40
246	17	256	40
246	22	226	46
246	22	225	41
246	22	225	41
246	27	236	9
246	27	233	11
246	27	233	8
246	27	234	8
246	27	233	7
246	27	234	8
246	0	230	144
246	0	230	144
246	0	230	144
246	33	271	66
246	34	261	58
246	35	261	60
246	36	260	72
246	3	237	45
246	3	236	46
246	3	236	61
246	8	223	84
246	10	236	96
246	10	236	79
246	10	237	95
246	10	236	79
246	17	262	45
246	17	256	40
246	17	256	40
246	22	226	46
246	22	225	41
246	22	225	41
246	27	236	9
246	27	233	11
246	27	233	8
246	27	234	8
246	27	233	7
246	27	234	8
246	0	230	144
246	0	230	144
246	0	230	144
246	33	271	66
246	34	261	58
246	35	261	60
246	36	260	72
246	3	237	45
246	3	236	46
246	3	236	61
246	8	223	84
246	10	236	96
246	10	236	79
246	10	237	95
246	10	236	79
246	17	262	45
246	17	256	40
