TextureArchive	TextureRecord	OffsetX	OffsetY
235	0	237	47
235	0	237	61
235	0	237	44
235	3	237	47
235	3	234	60
235	3	235	58
235	3	237	45
235	3	234	45
235	11	229	123
235	12	229	143
235	12	229	145
235	12	229	142
235	16	240	84
235	16	240	84
235	16	236	84
235	16	238	84
235	16	235	84
235	21	224	41
235	30	230	42
235	34	237	45
235	37	227	48
235	37	230	53
235	39	225	53
235	39	225	52
235	42	237	61
235	44	242	94
235	44	242	94
235	44	242	88
235	47	224	43
235	50	237	43
235	55	237	43
235	63	227	43
235	68	227	43
235	76	237	44
235	80	237	44
235	88	225	44
235	92	225	44
235	102	237	79
235	102	241	79
235	104	231	82
235	104	240	82
235	106	237	46
235	106	237	46
235	109	238	47
235	109	238	47
236	0	236	47
236	0	237	60
236	0	237	44
236	3	237	45
236	3	237	59
236	3	237	59
236	3	237	44
236	3	237	46
236	11	229	123
236	12	229	143
236	12	229	145
236	12	229	142
236	16	240	84
236	16	240	84
236	16	236	84
236	16	238	84
236	16	235	84
236	21	224	41
236	30	230	42
236	34	237	44
236	37	227	48
236	37	230	53
236	39	225	53
236	39	225	50
236	42	237	61
236	44	243	87
236	44	243	87
236	44	242	88
236	47	224	43
236	50	237	43
236	55	237	43
236	63	227	42
236	68	227	43
236	76	237	44
236	80	237	44
236	88	225	44
236	92	225	44
236	102	237	79
236	102	241	79
236	104	231	82
236	104	231	82
236	106	237	46
236	106	237	46
236	109	237	46
236	109	237	45
237	0	236	47
237	0	237	60
237	0	237	44
237	3	237	45
237	3	237	59
237	3	237	59
237	3	237	44
237	3	237	46
237	11	229	123
237	12	229	143
237	12	229	145
237	12	229	142
237	16	240	84
237	16	240	84
237	16	236	84
237	16	238	84
237	16	235	84
237	21	224	41
237	30	230	42
237	34	237	44
237	37	227	48
237	37	230	53
237	39	225	53
237	39	225	50
237	42	237	61
237	44	243	87
237	44	243	87
237	44	242	88
237	47	224	43
237	50	237	43
237	55	237	43
237	63	227	42
237	68	227	43
237	76	237	44
237	80	237	44
237	88	225	44
237	92	225	44
237	102	237	79
237	102	241	79
237	104	231	82
237	104	231	82
237	106	237	46
237	106	237	46
237	109	237	46
237	109	237	45
238	0	237	47
238	0	237	61
238	0	237	44
238	3	237	47
238	3	234	60
238	3	235	58
238	3	237	45
238	3	234	45
238	11	229	123
238	12	229	143
238	12	229	145
238	12	229	142
238	16	240	84
238	16	240	84
238	16	236	84
238	16	238	84
238	16	235	84
238	21	224	41
238	30	230	42
238	34	237	45
238	37	227	48
238	37	230	53
238	39	225	53
238	39	225	52
238	42	237	61
238	44	242	94
238	44	242	94
238	44	242	88
238	47	224	43
238	50	237	43
238	55	237	43
238	63	227	43
238	68	227	43
238	76	237	44
238	80	237	44
238	88	225	44
238	92	225	44
238	102	237	79
238	102	241	79
238	104	231	82
238	104	240	82
238	106	237	46
238	106	237	46
238	109	238	47
238	109	238	47
