TextureArchive	TextureRecord	OffsetX	OffsetY
234	5	226	97
234	22	237	102
234	21	211	30
234	19	217	97
234	26	224	99
234	2	199	84
234	17	199	98
234	12	199	91
234	9	167	100
234	4	209	80
234	7	210	83
234	14	207	96
234	8	200	95
234	25	199	92
234	0	233	96
234	24	199	92
234	16	224	72
234	11	198	52
234	5	226	97
234	22	237	102
234	21	211	30
234	19	217	97
234	26	224	99
234	2	199	84
234	17	199	98
234	12	199	91
234	9	167	100
234	4	209	80
234	7	210	83
234	14	207	96
234	8	200	95
234	25	199	92
234	0	233	96
234	24	199	92
234	16	224	72
234	11	198	52
234	5	226	97
234	22	237	102
234	21	211	30
234	19	217	97
234	26	224	99
234	2	199	84
234	17	199	98
234	12	199	91
234	9	167	100
234	4	209	80
234	7	210	83
234	14	207	96
234	8	200	95
234	25	199	92
234	0	233	96
234	24	199	92
234	16	224	72
234	11	198	52
234	5	226	97
234	22	237	102
234	21	211	30
234	19	217	97
234	26	224	99
234	2	199	84
234	17	199	98
234	12	199	91
234	9	167	100
234	4	209	80
234	7	210	83
234	14	207	96
234	8	200	95
234	25	199	92
234	0	233	96
234	24	199	92
234	16	224	72
234	11	198	52
234	5	226	97
234	22	237	102
234	21	211	30
234	19	217	97
234	26	224	99
234	2	199	84
234	17	199	98
234	12	199	91
234	9	167	100
234	4	209	80
234	7	210	83
234	14	207	96
234	8	200	95
234	25	199	92
234	0	233	96
234	24	199	92
234	16	224	72
234	11	198	52
234	5	226	97
234	22	237	102
234	21	211	30
234	19	217	97
234	26	224	99
234	2	199	84
234	17	199	98
234	12	199	91
234	9	167	100
234	4	209	80
234	7	210	83
234	14	207	96
234	8	200	95
234	25	199	92
234	0	233	96
234	24	199	92
234	16	224	72
234	11	198	52
234	5	226	97
234	22	237	102
234	21	211	30
234	19	217	97
234	26	224	99
234	2	199	84
234	17	199	98
234	12	199	91
234	9	167	100
234	4	209	80
234	7	210	83
234	14	207	96
234	8	200	95
234	25	199	92
234	0	233	96
234	24	199	92
234	16	224	72
234	11	198	52
234	5	226	97
234	22	237	102
234	21	211	30
234	19	217	97
234	26	224	99
234	2	199	84
234	17	199	98
234	12	199	91
234	9	167	100
234	4	209	80
234	7	210	83
234	14	207	96
234	8	200	95
234	25	199	92
234	0	233	96
234	24	199	92
234	16	224	72
234	11	198	52
234	5	226	97
234	22	237	102
234	21	211	30
234	19	217	97
234	26	224	99
234	2	199	84
234	17	199	98
234	12	199	91
234	9	167	100
234	4	209	80
234	7	210	83
234	14	207	96
234	8	200	95
234	25	199	92
234	0	233	96
234	24	199	92
234	16	224	72
234	11	198	52
234	5	226	97
234	22	237	102
234	21	211	30
234	19	217	97
234	26	224	99
234	2	199	84
234	17	199	98
234	12	199	91
234	9	167	100
234	4	209	80
234	7	210	83
234	14	207	96
234	8	200	95
234	25	199	92
234	0	233	96
234	24	199	92
234	16	224	72
234	11	198	52
