TextureArchive	TextureRecord	OffsetX	OffsetY
239	0	239	45
239	0	239	45
239	0	239	45
239	0	241	45
239	7	238	45
239	7	237	47
239	12	229	144
239	12	229	146
239	12	230	143
239	16	238	84
239	16	238	84
239	16	236	84
239	16	238	84
239	18	236	84
239	18	238	84
239	21	223	39
239	30	229	40
239	35	233	45
239	35	233	45
239	39	224	45
239	39	224	45
239	42	224	45
239	44	240	88
239	44	239	90
239	44	239	90
239	47	223	8
239	50	232	43
239	55	232	43
239	63	223	41
239	68	223	41
239	76	234	42
239	80	234	42
239	88	225	42
239	92	225	42
239	102	238	79
239	102	238	79
239	106	233	44
239	106	233	45
240	0	239	45
240	0	239	45
240	0	239	45
240	0	225	40
240	7	238	44
240	7	237	47
240	12	229	144
240	12	229	146
240	12	230	142
240	16	238	83
240	16	238	82
240	16	236	83
240	16	238	83
240	18	236	83
240	18	238	83
240	21	223	39
240	30	229	39
240	35	233	45
240	35	233	45
240	39	224	45
240	39	224	45
240	42	224	45
240	44	239	84
240	44	239	89
240	44	239	90
240	47	223	8
240	50	232	42
240	55	232	42
240	63	223	41
240	68	223	41
240	76	234	41
240	80	234	41
240	88	225	41
240	92	225	41
240	102	238	78
240	102	238	79
240	106	233	44
240	106	233	45
241	0	239	45
241	0	239	45
241	0	239	45
241	0	225	40
241	7	238	44
241	7	237	47
241	12	229	144
241	12	229	146
241	12	230	142
241	16	238	83
241	16	238	82
241	16	236	83
241	16	238	83
241	18	236	83
241	18	238	83
241	21	223	39
241	30	229	39
241	35	233	45
241	35	233	45
241	39	224	45
241	39	224	45
241	42	224	45
241	44	239	84
241	44	239	89
241	44	239	90
241	47	223	8
241	50	232	42
241	55	232	42
241	63	223	41
241	68	223	41
241	76	234	41
241	80	234	41
241	88	225	41
241	92	225	41
241	102	238	78
241	102	238	79
241	106	233	44
241	106	233	45
242	0	239	45
242	0	239	45
242	0	239	45
242	0	241	45
242	7	238	45
242	7	237	47
242	12	229	144
242	12	229	146
242	12	230	143
242	16	238	84
242	16	238	84
242	16	236	84
242	16	238	84
242	18	236	84
242	18	238	84
242	21	223	39
242	30	229	40
242	35	233	45
242	35	233	45
242	39	224	45
242	39	224	45
242	42	224	45
242	44	240	88
242	44	239	90
242	44	239	90
242	47	223	8
242	50	232	43
242	55	232	43
242	63	223	41
242	68	223	41
242	76	234	42
242	80	234	42
242	88	225	42
242	92	225	42
242	102	238	79
242	102	238	79
242	106	233	44
242	106	233	45
